JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Senior Administrative Assistant,Grant Thornton,""Waterloo, ON"",4 days ago,2021-06-05,You know those big cities that still feel like small towns? Where everyone’s friendly and helps each other out? That’s like Grant Thornton.,,https://ca.indeed.com/rc/clk?jk=d3cf5c7f255cc83a&fccid=7ac82fceed64aa81&vjs=3";
"Senior Organization Development Consultant,Region of Waterloo,""Waterloo, ON"",1 day ago,2021-06-05,""Partner independently with senior leaders and their teams to improve their overall effectiveness, e.g. facilitation of values clarification and Workplace…"",""$90,399 - $113,004 a year"",https://ca.indeed.com/rc/clk?jk=a41bdf8145d25df6&fccid=cb43ce2ddf90903e&vjs=3";
"Senior Taxation Specialist,Sun Life Financial,""Waterloo, ON"",2 days ago,2021-06-05,""You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self."",,https://ca.indeed.com/rc/clk?jk=53af61ef99864906&fccid=618943d89d0005a6&vjs=3";
"Senior Fund Accountant,SS&C Technologies,""Kitchener, ON"",2 days ago,2021-06-05,SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries.,,https://ca.indeed.com/rc/clk?jk=bc71b177c253f57b&fccid=7ab93833a090100a&vjs=3";
"Senior Consultant, Dealer Strategic Initiatives,Sun Life Financial,""Waterloo, ON"",3 days ago,2021-06-05,""You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self."",,https://ca.indeed.com/rc/clk?jk=59340d4d945c9ddb&fccid=618943d89d0005a6&vjs=3";
"Senior Sales Associate,Brock Solutions,""Kitchener, ON"",30+ days ago,2021-06-05,""Brock Solutions is an engineering solutions and professional services company specializing in the design, build and implementation of real-time operational…"",,https://ca.indeed.com/rc/clk?jk=4d90ed2ef0482aec&fccid=76900f8ba61b1d82&vjs=3";
"Senior Recruiter for Regions East - 18 Month Contract,KPMG,""Waterloo, ON"",3 days ago,2021-06-05,""You’ve got big plans. We have opportunities to match, and we’re committed to empowering you to become a better you, no matter what you do."",,https://ca.indeed.com/rc/clk?jk=23992bab24b4df90&fccid=2dd390c3a48a7ed0&vjs=3";
"Senior Technical Project Manager,Magnet Forensics,""Waterloo, ON"",2 days ago,2021-06-05,""As senior subject matter expert, provide mentorship to Technical Project Managers and other team members. Our Mission is to impact people’s lives by uncovering…"",,https://ca.indeed.com/company/Magnet-Forensics/jobs/Senior-Technical-Project-Manager-1f956a027f3705d0?fccid=c48e0ab625aa6389&vjs=3";
"Sr. HRIM Specialist,opentext,""Waterloo, ON"",1 day ago,2021-06-05,""As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital."",,https://ca.indeed.com/rc/clk?jk=6ffc0845516d2d0e&fccid=c908408e676247d6&vjs=3";
"Staff Accountant II/Senior Accountant, Audit Private,Deloitte,""Kitchener, ON"",4 days ago,2021-06-05,""Primary Location: Multiple Locations, Ontario, Canada. Build your leadership skills at Deloitte University. Have many careers in one Firm."",,https://ca.indeed.com/rc/clk?jk=bb28dffb1b56d153&fccid=9e215d88a6b33622&vjs=3";
"Senior Market Manager - Chemicals - 100% REMOTE,PerkinElmer,""Kitchener, ON"",30+ days ago,2021-06-05,""PerkinElmer is a global leader committed to innovating for a healthier world. Our dedicated team of 9,000 employees worldwide are passionate about providing…"",""$126,500 - $158,000 a year"",https://ca.indeed.com/rc/clk?jk=e6ef326c69ba0d03&fccid=dedb01f1a81e63e6&vjs=3";
"Senior Software Developer,Oracle,""Kitchener, ON"",1 day ago,2021-06-05,""Applicants are required to read, write, and speak the following languages: English. Detailed Description and Job Requirements. Location: CA-CA,Canada-Kitchener."",,https://ca.indeed.com/rc/clk?jk=cec62095cfc6899b&fccid=cd22d01053af7669&vjs=3";
"Senior Software Developer, Mobile, Google Home,Google,""Waterloo, ON"",15 days ago,2021-06-05,""Bachelor’s degree or equivalent practical experience. 7 years of software development experience, or 5 years with an advanced degree."",,https://ca.indeed.com/rc/clk?jk=234dd6088d14136d&fccid=a5b4499d9e91a5c6&vjs=3";
"Senior Development Officer, Annual Giving,University of Waterloo,""Waterloo, ON"",30+ days ago,2021-06-05,""Oversees initiatives of working groups, senior leadership campaigns, and peer-to-peer campaigns including stewarding leadership of FSR campaign chairs."",,https://ca.indeed.com/rc/clk?jk=58271cb21fc5f073&fccid=5bcffa6277080afe&vjs=3";
"Senior Manager, Donor Relations – One Year Contract,Perimeter Institute for Theoretical Physics,""Waterloo, ON"",4 days ago,2021-06-05,""Work closely with, and proactively support, senior leadership and relationship managers to ensure that the program, communications, activities, and events are…"",""$75,000 - $85,000 a year"",https://ca.indeed.com/rc/clk?jk=7f3bef024006e45d&fccid=194c7272f526c5c9&vjs=3";
"Senior Regional Marketing Manager,Magnet Forensics,""Waterloo, ON"",2 days ago,2021-06-05,""“The Senior Regional Marketing Manager _will develop, implement and manage marketing campaigns and programs that generate new account opportunities,…"",,https://ca.indeed.com/company/Magnet-Forensics/jobs/Senior-Regional-Marketing-Manager-7f2e0286547af8d1?fccid=c48e0ab625aa6389&vjs=3";
